country,volume,year
US,0,1934
US,0,1984
US,0,1986
US,0,1992
US,0,1995
US,0,1996
US,11,1997
US,17,1998
US,24,1999
US,15,2000
US,1,2001
US,1,2002
US,5,2003
US,23,2004
US,56,2005
US,84,2006
US,107,2007
US,117,2008
US,212,2009
US,229,2010
US,201,2011
US,357,2012
US,384,2013
US,334,2014
US,81,2015
US,16,2016
France,0,1934
France,0,1984
France,0,1986
France,0,1992
France,0,1995
France,0,1996
France,0,1997
France,0,1998
France,2,1999
France,1,2000
France,0,2001
France,1,2002
France,2,2003
France,0,2004
France,6,2005
France,31,2006
France,19,2007
France,37,2008
France,78,2009
France,101,2010
France,97,2011
France,149,2012
France,48,2013
France,155,2014
France,54,2015
France,6,2016
Italy,0,1934
Italy,0,1984
Italy,0,1986
Italy,0,1992
Italy,3,1995
Italy,2,1996
Italy,4,1997
Italy,6,1998
Italy,4,1999
Italy,4,2000
Italy,5,2001
Italy,0,2002
Italy,11,2003
Italy,24,2004
Italy,25,2005
Italy,38,2006
Italy,55,2007
Italy,64,2008
Italy,67,2009
Italy,147,2010
Italy,122,2011
Italy,101,2012
Italy,114,2013
Italy,50,2014
Italy,18,2015
Italy,4,2016
Chile,0,1934
Chile,0,1984
Chile,0,1986
Chile,0,1992
Chile,0,1995
Chile,0,1996
Chile,0,1997
Chile,0,1998
Chile,1,1999
Chile,2,2000
Chile,4,2001
Chile,1,2002
Chile,2,2003
Chile,1,2004
Chile,3,2005
Chile,2,2006
Chile,9,2007
Chile,9,2008
Chile,20,2009
Chile,20,2010
Chile,10,2011
Chile,24,2012
Chile,29,2013
Chile,24,2014
Chile,18,2015
Chile,0,2016
South Africa,0,1934
South Africa,0,1984
South Africa,0,1986
South Africa,0,1992
South Africa,0,1995
South Africa,0,1996
South Africa,0,1997
South Africa,1,1998
South Africa,0,1999
South Africa,0,2000
South Africa,0,2001
South Africa,0,2002
South Africa,1,2003
South Africa,2,2004
South Africa,3,2005
South Africa,1,2006
South Africa,9,2007
South Africa,6,2008
South Africa,8,2009
South Africa,5,2010
South Africa,2,2011
South Africa,5,2012
South Africa,2,2013
South Africa,1,2014
South Africa,0,2015
South Africa,0,2016
Argentina,0,1934
Argentina,0,1984
Argentina,0,1986
Argentina,0,1992
Argentina,0,1995
Argentina,0,1996
Argentina,0,1997
Argentina,0,1998
Argentina,0,1999
Argentina,0,2000
Argentina,0,2001
Argentina,0,2002
Argentina,0,2003
Argentina,0,2004
Argentina,5,2005
Argentina,18,2006
Argentina,24,2007
Argentina,18,2008
Argentina,19,2009
Argentina,25,2010
Argentina,20,2011
Argentina,27,2012
Argentina,24,2013
Argentina,17,2014
Argentina,9,2015
Argentina,1,2016
Portugal,1,1934
Portugal,1,1984
Portugal,1,1986
Portugal,1,1992
Portugal,0,1995
Portugal,0,1996
Portugal,1,1997
Portugal,0,1998
Portugal,0,1999
Portugal,0,2000
Portugal,1,2001
Portugal,2,2002
Portugal,1,2003
Portugal,4,2004
Portugal,11,2005
Portugal,3,2006
Portugal,3,2007
Portugal,18,2008
Portugal,15,2009
Portugal,15,2010
Portugal,36,2011
Portugal,29,2012
Portugal,31,2013
Portugal,40,2014
Portugal,16,2015
Portugal,1,2016
Spain,0,1934
Spain,0,1984
Spain,0,1986
Spain,0,1992
Spain,0,1995
Spain,1,1996
Spain,0,1997
Spain,5,1998
Spain,0,1999
Spain,1,2000
Spain,3,2001
Spain,1,2002
Spain,4,2003
Spain,7,2004
Spain,11,2005
Spain,13,2006
Spain,18,2007
Spain,26,2008
Spain,30,2009
Spain,22,2010
Spain,34,2011
Spain,40,2012
Spain,35,2013
Spain,30,2014
Spain,15,2015
Spain,0,2016
Greece,0,1934
Greece,0,1984
Greece,0,1986
Greece,0,1992
Greece,0,1995
Greece,0,1996
Greece,0,1997
Greece,0,1998
Greece,0,1999
Greece,0,2000
Greece,0,2001
Greece,0,2002
Greece,0,2003
Greece,0,2004
Greece,2,2005
Greece,1,2006
Greece,4,2007
Greece,2,2008
Greece,1,2009
Greece,0,2010
Greece,0,2011
Greece,0,2012
Greece,1,2013
Greece,1,2014
Greece,1,2015
Greece,0,2016
Austria,0,1934
Austria,0,1984
Austria,0,1986
Austria,0,1992
Austria,0,1995
Austria,0,1996
Austria,0,1997
Austria,0,1998
Austria,0,1999
Austria,0,2000
Austria,0,2001
Austria,0,2002
Austria,0,2003
Austria,0,2004
Austria,1,2005
Austria,0,2006
Austria,3,2007
Austria,2,2008
Austria,3,2009
Austria,2,2010
Austria,18,2011
Austria,13,2012
Austria,9,2013
Austria,10,2014
Austria,10,2015
Austria,0,2016
New Zealand,0,1934
New Zealand,0,1984
New Zealand,0,1986
New Zealand,0,1992
New Zealand,0,1995
New Zealand,0,1996
New Zealand,0,1997
New Zealand,0,1998
New Zealand,0,1999
New Zealand,2,2000
New Zealand,0,2001
New Zealand,0,2002
New Zealand,0,2003
New Zealand,0,2004
New Zealand,0,2005
New Zealand,1,2006
New Zealand,2,2007
New Zealand,1,2008
New Zealand,1,2009
New Zealand,4,2010
New Zealand,6,2011
New Zealand,4,2012
New Zealand,6,2013
New Zealand,11,2014
New Zealand,4,2015
New Zealand,0,2016
Australia,0,1934
Australia,0,1984
Australia,0,1986
Australia,0,1992
Australia,0,1995
Australia,0,1996
Australia,0,1997
Australia,2,1998
Australia,1,1999
Australia,5,2000
Australia,2,2001
Australia,0,2002
Australia,0,2003
Australia,3,2004
Australia,7,2005
Australia,5,2006
Australia,7,2007
Australia,8,2008
Australia,5,2009
Australia,7,2010
Australia,1,2011
Australia,7,2012
Australia,9,2013
Australia,8,2014
Australia,3,2015
Australia,0,2016
Israel,0,1934
Israel,0,1984
Israel,0,1986
Israel,0,1992
Israel,0,1995
Israel,0,1996
Israel,0,1997
Israel,0,1998
Israel,1,1999
Israel,0,2000
Israel,0,2001
Israel,0,2002
Israel,0,2003
Israel,0,2004
Israel,0,2005
Israel,0,2006
Israel,2,2007
Israel,0,2008
Israel,2,2009
Israel,2,2010
Israel,4,2011
Israel,3,2012
Israel,5,2013
Israel,3,2014
Israel,0,2015
Israel,0,2016
Germany,0,1934
Germany,0,1984
Germany,0,1986
Germany,0,1992
Germany,0,1995
Germany,0,1996
Germany,0,1997
Germany,0,1998
Germany,0,1999
Germany,0,2000
Germany,0,2001
Germany,0,2002
Germany,0,2003
Germany,0,2004
Germany,0,2005
Germany,0,2006
Germany,0,2007
Germany,0,2008
Germany,0,2009
Germany,0,2010
Germany,1,2011
Germany,2,2012
Germany,0,2013
Germany,2,2014
Germany,3,2015
Germany,0,2016